"","PLOT_ID","Source","Lat","Lon","Slope","gr_mean","Biom_mean","RS","PWQ","PH","SOC","Basal","CV","Age","Biome","Sink"
"1163","Plot1163","Can",49.46,-85.3,-1.48,0.304,0.161,27.17,266,5.099999905,53.63,0.003,0.4,83.2,"Temperate",0.143
"1164","Plot1164","Can",49.45,-85.62,-0.17,0.471,0.973,28.8,267,5.099999905,48.56,0.0043,0.83,101.4,"Temperate",-0.502
"1165","Plot1165","Can",49.45,-85.63,-1.65,0.509,0.521,29.16,267,5.099999905,53.1,0.0029,0.42,50.4,"Temperate",-0.012
"1166","Plot1166","Can",49.37,-86.06,-1.46,0.248,0.111,28.83,263,5.099999905,68.1,0.0037,0.42,99.8,"Temperate",0.137
"1167","Plot1167","Can",49.37,-86.06,-1.56,0.207,0.096,28.83,263,5.099999905,68.1,0.0032,0.32,102.8,"Temperate",0.111
"1168","Plot1168","Can",49.29,-85.95,-1.77,0.507,0.384,29.7,268,6.400000095,56.72,0.0026,0.5,42.25,"Temperate",0.123
"1169","Plot1169","Can",49.23,-86,-1.98,0.509,0.442,29.48,269,6.400000095,43.97,0.0028,0.53,54.25,"Temperate",0.067
"1170","Plot1170","Can",49.23,-86.01,-1.38,0.443,0.433,29.19,267,6.400000095,53.85,0.0033,0.66,52.2,"Temperate",0.01
"1171","Plot1171","Can",49.23,-86.01,-1.33,0.412,0.393,29.19,267,6.400000095,53.85,0.0031,0.7,52.2,"Temperate",0.019
"1172","Plot1172","Can",49.22,-86.02,-1.67,0.566,0.527,29.15,267,6.400000095,54.97,0.0028,0.25,54.25,"Temperate",0.0389999999999999
"1173","Plot1173","Can",49.21,-86.04,-1.48,0.423,0.433,29.41,267,6.400000095,49.7,0.0029,0.42,55.2,"Temperate",-0.01
"1174","Plot1174","Can",49.45,-85.57,-1.9,0.168,0.044,28.24,269,5.099999905,65.83,0.0022,0.27,49.4,"Temperate",0.124
"1175","Plot1175","Can",49.29,-85.94,-1.62,0.484,0.433,30.03,268,6.400000095,56.2,0.0029,0.52,43.25,"Temperate",0.051
"1176","Plot1176","Can",49.44,-85.59,-1.79,0.484,0.409,29.63,270,5.099999905,47.54,0.0026,0.44,51.25,"Temperate",0.075
"1177","Plot1177","Amazon",-12.5,-69,-0.78,0.582,0.636,59.03,651,5.900000095,30.71,NA,NA,NA,"Tropical",-0.054
"1178","Plot1178","Hans",47.24,21.06,-1.43,1.044,0.451,30.27,187,6.199999809,38.73,0.007,0.28,48.72,"Temperate",0.593
"1179","Plot1179","Hans",47.24,21.06,-1.47,0.985,0.393,30.27,187,6.199999809,38.73,0.0066,0.28,48.83,"Temperate",0.592
"1180","Plot1180","ICP",55.95,12.35,-1.53,1.194,0.222,22.12,180,4.099999905,58.21,0.0048,0.24,NA,"Boreal",0.972
"1181","Plot1181","Amazon",6.1,-61.4,-1.02,0.501,0.453,50.4,477,4.099999905,32.63,NA,NA,NA,"Tropical",0.048
"1182","Plot1182","Hans",49.26,21.35,-2.09,0.461,0.15,40.23,292,6.300000191,30.4,0.0054,0.24,168.68,"Temperate",0.311
"1183","Plot1183","ICP",53.1,12.42,-2.11,0.27,0.093,22.67,186,5.699999809,47.39,0.0035,0.21,NA,"Boreal",0.177
